rpm,engine_temp,oil_temp,oil_pressure,fuel_flow,manifold_pressure,exhaust_gas_temp,vibration,engine_load,altitude,ambient_temp,throttle,temperature_rate,vibration_rate,oil_pressure_rate,residual_engine_temp,residual_oil_pressure,residual_vibration,residual_exhaust_gas_temp,composite_residual_norm,fault_class
4154.2,108.6,95.6,3.65,16.48,24.36,747.5,1.55,60.5,12632.0,31.8,54.6,1020.0,-6.0,-30.0,-2.3,0.13,0.01,-0.3,1.02,NORMAL
4149.7,108.7,95.8,3.65,16.39,24.39,748.6,1.53,61.0,12632.0,31.8,54.6,960.0,-30.0,-30.0,-2.4,0.13,-0.01,0.0,1.01,NORMAL
4153.4,108.8,95.9,3.63,16.45,24.42,748.6,1.53,60.8,12632.0,31.8,54.6,960.0,6.0,-36.0,-2.2,0.11,-0.01,0.3,0.94,NORMAL
4156.2,108.9,96.0,3.63,16.35,24.4,748.1,1.53,60.6,12632.0,31.8,54.6,900.0,0.0,-24.0,-2.1,0.11,-0.01,0.1,0.92,NORMAL
4153.4,108.9,96.2,3.64,16.44,24.43,748.2,1.53,60.7,12632.0,31.8,54.6,780.0,12.0,-30.0,-2.1,0.12,-0.01,0.1,0.89,NORMAL
4153.5,109.0,96.2,3.64,16.46,24.41,748.4,1.57,60.4,12632.0,31.8,54.6,780.0,-6.0,-18.0,-1.9,0.12,0.03,0.8,0.88,NORMAL
4153.3,109.1,96.3,3.62,16.4,24.5,748.5,1.49,60.8,12632.0,31.8,54.6,720.0,-30.0,-30.0,-1.9,0.1,-0.05,0.2,0.85,NORMAL
4153.4,109.2,96.4,3.63,16.44,24.44,747.7,1.56,60.4,12632.0,31.8,54.6,660.0,30.0,-6.0,-1.7,0.11,0.02,0.1,0.83,NORMAL
4150.7,109.3,96.5,3.61,16.39,24.42,747.4,1.57,60.7,12632.0,31.8,54.6,660.0,24.0,-30.0,-1.7,0.09,0.03,-0.7,0.79,NORMAL
4150.3,109.3,96.7,3.62,16.52,24.48,747.8,1.54,61.0,12632.0,31.8,54.6,600.0,-12.0,-18.0,-1.8,0.1,0.0,-0.8,0.79,NORMAL
4152.1,109.4,96.7,3.62,16.39,24.42,747.8,1.55,60.9,12632.0,31.8,54.6,540.0,-6.0,-18.0,-1.6,0.1,0.01,-0.7,0.76,NORMAL
4154.4,109.3,96.9,3.6,16.48,24.36,748.6,1.58,60.7,12632.0,31.8,54.6,420.0,18.0,-30.0,-1.7,0.08,0.04,0.5,0.71,NORMAL
4154.7,109.3,97.0,3.63,16.56,24.44,748.2,1.56,60.6,12632.0,31.8,54.6,360.0,18.0,-12.0,-1.7,0.11,0.02,0.2,0.73,NORMAL
4153.9,109.5,97.1,3.59,16.64,24.51,748.5,1.51,60.6,12632.0,31.8,54.6,420.0,-12.0,-24.0,-1.5,0.07,-0.03,0.5,0.67,NORMAL
4152.5,109.5,97.2,3.6,16.52,24.38,747.4,1.58,60.3,12632.0,31.8,54.6,360.0,30.0,-18.0,-1.4,0.08,0.04,-0.1,0.65,NORMAL
4542.3,109.7,96.8,3.8,18.41,24.61,764.5,1.67,69.0,13812.0,24.4,63.8,0.0,24.0,6.0,-0.2,0.0,0.0,0.4,0.09,NORMAL
4545.1,109.7,96.8,3.79,18.33,24.61,764.2,1.7,68.6,13812.0,24.4,63.8,60.0,-18.0,-6.0,-0.1,-0.01,0.03,0.8,0.09,NORMAL
4544.7,109.7,96.8,3.8,18.31,24.5,764.8,1.71,68.9,13812.0,24.4,63.8,60.0,42.0,6.0,-0.2,0.0,0.04,0.9,0.11,NORMAL
4547.3,109.7,96.8,3.8,18.27,24.57,764.8,1.7,69.0,13812.0,24.4,63.8,0.0,6.0,6.0,-0.2,0.0,0.03,0.7,0.08,NORMAL
4549.4,109.7,96.8,3.81,18.31,24.55,765.2,1.63,68.9,13812.0,24.4,63.8,60.0,-6.0,12.0,-0.2,0.01,-0.04,1.3,0.11,NORMAL
4548.6,109.7,96.8,3.81,18.28,24.5,764.3,1.66,68.9,13812.0,24.4,63.8,0.0,24.0,6.0,-0.2,0.01,-0.01,0.4,0.08,NORMAL
4549.0,109.7,96.8,3.79,18.32,24.58,764.1,1.63,68.7,13812.0,24.4,63.8,0.0,12.0,6.0,-0.1,-0.01,-0.04,0.5,0.09,NORMAL
4548.2,109.6,96.8,3.8,18.44,24.66,765.5,1.73,69.0,13812.0,24.4,63.8,0.0,36.0,6.0,-0.3,0.0,0.06,1.4,0.17,NORMAL
4549.8,109.7,96.8,3.81,18.42,24.55,765.4,1.66,69.2,13812.0,24.4,63.8,60.0,-24.0,12.0,-0.3,0.01,-0.01,1.0,0.09,NORMAL
4548.7,109.8,96.7,3.79,18.43,24.64,765.2,1.67,68.9,13812.0,24.4,63.8,60.0,12.0,0.0,-0.1,-0.01,0.0,1.3,0.1,NORMAL
4546.3,109.7,96.7,3.83,18.25,24.49,764.6,1.65,68.7,13812.0,24.4,63.8,60.0,0.0,18.0,-0.1,0.03,-0.02,1.0,0.13,NORMAL
4546.3,109.7,96.7,3.79,18.26,24.54,764.3,1.67,69.0,13812.0,24.4,63.8,0.0,0.0,-6.0,-0.2,-0.01,0.0,0.2,0.07,NORMAL
4545.6,109.7,96.7,3.8,18.26,24.54,764.9,1.68,69.0,13812.0,24.4,63.8,0.0,-12.0,6.0,-0.2,0.0,0.01,0.8,0.08,NORMAL
4548.9,109.7,96.8,3.8,18.32,24.57,764.0,1.68,68.7,13812.0,24.4,63.8,0.0,-18.0,0.0,-0.1,0.0,0.01,0.4,0.03,NORMAL
4548.0,109.7,96.8,3.8,18.37,24.54,764.0,1.7,68.7,13812.0,24.4,63.8,0.0,0.0,0.0,-0.1,0.0,0.03,0.4,0.07,NORMAL
4629.4,112.1,98.0,3.81,21.04,27.93,765.9,1.67,70.6,9574.0,28.8,65.7,300.0,-36.0,-12.0,-0.8,0.04,-0.02,0.2,0.24,NORMAL
4628.7,112.1,98.0,3.81,21.24,28.02,765.6,1.72,70.7,9574.0,28.8,65.7,300.0,0.0,6.0,-0.8,0.04,0.02,-0.2,0.25,NORMAL
4629.1,112.1,98.0,3.78,21.19,28.0,765.1,1.7,70.5,9574.0,28.8,65.7,180.0,0.0,-12.0,-0.7,0.01,0.01,-0.4,0.2,NORMAL
4627.8,112.1,98.0,3.79,21.06,27.99,765.2,1.73,70.6,9574.0,28.8,65.7,180.0,36.0,0.0,-0.8,0.02,0.04,-0.5,0.23,NORMAL
4624.5,112.2,98.1,3.81,21.07,27.98,765.8,1.72,70.8,9574.0,28.8,65.7,180.0,18.0,-6.0,-0.7,0.04,0.02,-0.2,0.23,NORMAL
4622.7,112.1,98.1,3.8,20.87,27.89,764.5,1.72,70.7,9574.0,28.8,65.7,120.0,6.0,0.0,-0.8,0.03,0.02,-1.3,0.27,NORMAL
4625.4,112.2,98.1,3.8,21.11,27.98,764.4,1.66,70.8,9574.0,28.8,65.7,120.0,-18.0,-6.0,-0.7,0.03,-0.04,-1.6,0.23,NORMAL
